Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
BOBYQA;2;0;[];2n+1;5;100;108;7,99E-03;[2.00005317 1.00002658]
FullyDetQuadInterpol;2;0;[];0.5(n+1)(n+2);6;95;98;2,46E-01;[2.00012529 1.00006264]
FullyDetLinearInterpol;2;0;[];n+1;3;564;679;3,02E+09;[2.02343003 1.01172155]
;;;;;;;;;
Trafo Version1;2;0;[];m_default;6;95;98;2,46E-01;[2.00012529 1.00006264]
Trafo Version1;2;1;[0];m_default;4;81;87;2,01E-03;[2.00003764 1.00001882]
Trafo Version1;2;1;[1];m_default;4;70;72;1,57E-02;[2.00003542 1.00001771]
Trafo Version1;2;2;[0, 1];m_default;3;79;78;3,92E-03;[2.00004449 1.00002225]
;;;;;;;;;
Trafo Version4;2;0;[];m_default;5;100;108;7,99E-03;[2.00005317 1.00002658]
Trafo Version4;2;1;[0];m_default;5;130;145;1,54E+03;[1.99937404 0.99968702]
Trafo Version4;2;1;[1];m_default;5;81;104;9,86E+03;[2.0017718 1.0008859]
Trafo Version4;2;2;[0, 1];m_default;5;96;100;2,69E-01;[2.00012812 1.00006406]
;;;;;;;;;
SQP (mixed);2;0;[];;;10;31;6,01E+08;[2.02784237 1.01392118]
SQP (mixed);2;1;[0];;;10;21;6,01E+08;[2.02784237 1.01392118]
SQP (mixed);2;1;[1];;;10;21;6,01E+08;[2.02784237 1.01392118]
SQP (mixed);2;2;[0, 1];;;10;11;6,01E+08;[2.02784237 1.01392118]
;;;;;;;;;
;;;;;;;;;
=====;=====;=====;=====;=====;=====;=====;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
ZZ19_Test;[-0.5  0.2];;;;;;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
BOBYQA;2;0;[];2n+1;5;31;31;-0.14814814814814817;[-6.66666667e-01 -2.59324285e-11]
FullyDetQuadInterpol;2;0;[];0.5(n+1)(n+2);6;29;31;-0.14814814814814814;[-6.66666666e-01 -7.36613348e-10]
FullyDetLinearInterpol;2;0;[];n+1;3;51;58;-0.14814814814814783;[-6.66666659e-01 -1.23567576e-08]
;;;;;;;;;
Trafo Version1;2;0;[];m_default;6;29;31;-0.14814814814814814;[-6.66666666e-01 -7.36613256e-10]
Trafo Version1;2;1;[0];m_default;4;28;27;-0.14814814814814817;[-6.66666667e-01 -6.10360230e-11]
Trafo Version1;2;1;[1];m_default;4;31;29;-0.14814814814814814;[-6.66666667e-01 -1.78070620e-14]
Trafo Version1;2;2;[0, 1];m_default;3;26;24;-0.14814814814814814;[-6.66666663e-01  5.85391229e-10]
;;;;;;;;;
Trafo Version4;2;0;[];m_default;5;31;31;-0.14814814814814817;[-6.66666667e-01  3.47703437e-10]
Trafo Version4;2;1;[0];m_default;5;36;36;-0.14814814814814817;[-6.66666667e-01  1.32210690e-10]
Trafo Version4;2;1;[1];m_default;5;34;35;-0.14814814814814814;[-6.66666667e-01  1.38135307e-09]
Trafo Version4;2;2;[0, 1];m_default;5;32;32;-0.14814814814814814;[-6.66666667e-01  1.63915169e-09]
;;;;;;;;;
SQP (mixed);2;0;[];;;4;15;-0.1481481470747208;[-6.66638307e-01  1.27092507e-05]
SQP (mixed);2;1;[0];;;4;11;-0.1481481470747208;[-6.66638307e-01  1.27092507e-05]
SQP (mixed);2;1;[1];;;4;11;-0.1481481470747208;[-6.66638307e-01  1.27092507e-05]
