Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
HD01_sum2_10d;[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.];;;;;;;;
;;;;;;;;;
Version;n;known derivs;known_derivs_list;m rule;m;iterations;fct_evals;f_opt;x_opt
;;;;;;;;;
;;;;;;;;;
Trafo Version4;10;5;[0, 1, 2, 3, 4];m_default;21;27;42;5,04E-12;"[-7.54951657e-15  1.55431223e-15  1.33226763e-15  1.55431223e-15
  1.33226763e-15  2.19824159e-14 -4.79616347e-14  4.24105195e-14
  8.88178420e-16 -1.97619698e-14]"
Trafo Version4;10;5;[1, 4, 6, 8, 9];m_default;21;27;42;3,39E-12;"[-4.13002965e-14  3.10862447e-15  1.90958360e-14 -1.06581410e-14
  2.99760217e-15  1.53210777e-14  3.33066907e-15  3.03090886e-14
  3.33066907e-15  2.88657986e-15]"
Trafo Version4;10;5;[0, 1, 4, 7, 9];m_default;21;27;42;5,90E-13;"[-5.32907052e-15  1.33226763e-15  0.00000000e+00  9.54791801e-15
  1.33226763e-15  1.39888101e-14 -1.62092562e-14  1.33226763e-15
 -2.22044605e-15  1.33226763e-15]"
Trafo Version4;10;7;[1, 3, 4, 6, 7, 8, 9];m_default;21;27;42;1,75E-11;"[ 3.43434588e-14  1.45276300e-17 -6.74434920e-15 -4.93192973e-17
 -1.84651646e-17 -2.28757141e-14  1.67268920e-17 -2.47591079e-18
  1.89323403e-19  5.07608720e-17]"
Trafo Version4;10;7;[0, 2, 4, 6, 7, 8, 9];m_default;21;27;42;4,72E-13;"[ 2.34166010e-16 -3.66245452e-15 -2.47625460e-17 -1.27044067e-14
 -3.01352719e-17  1.72274960e-14 -3.53446123e-17 -1.67319246e-17
 -3.89336250e-17 -7.99466612e-17]"
Trafo Version4;10;7;[0, 2, 3, 4, 6, 7, 9];m_default;21;27;42;5,07E-13;"[-1.06208516e-16  4.36868815e-15 -7.86791539e-18  5.74340106e-17
  1.35222168e-17 -1.69957745e-14 -3.35068752e-19  2.00847860e-18
  1.41033147e-14 -1.55684484e-17]"
Trafo Version4;10;10;[0, 1, 2, 3, 4, 5, 6, 7, 8, 9];m_default;21;27;42;1,51E-17;"[ 6.41781902e-18  1.02948830e-17  1.29396385e-17  7.78495092e-18
 -1.14340284e-17  1.23437201e-18  4.98661009e-19  1.27259921e-18
  2.17085630e-18 -3.15305743e-17]"
;;;;;;;;;
SQP (only FD);10;0;[];;;2;23;0.0;[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
